"GroupId","PersonalId","HomePlanet","CryoSleep","Deck","Num","Side","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","FirstName","LastName","Transported","Expenditure","DeckNum","IsSoloTraveler","people_in_group","IsSoloChild","TransportedChildWithGroup"
1,1,"0",0,"B",0,"0","TRAPPIST-1e",39,0,4.98185178071931e-08,-1.0714519253988e-07,-5.61270093825275e-08,5.62906812381368e-08,8.10191530631526e-08,"Maham","Ofracculy",0,2.38561501860751e-08,"2","1",1,"0","0"
2,1,"1",0,"F",0,"1","TRAPPIST-1e",24,0,109.000000172355,8.99999994145626,25.0000000118922,548.999999871148,44.0000001231807,"Juanna","Vines",1,736.000000120032,"6","1",1,"0","0"
3,1,"0",0,"A",0,"1","TRAPPIST-1e",58,1,43.0000001301731,3575.99999986819,3.81679852170887e-08,6714.99999987585,49.0000001559953,"Altark","Susent",0,10383.0000000684,"1","0",2,"0","0"
3,2,"0",0,"A",0,"1","TRAPPIST-1e",33,0,2.55102116999391e-08,1282.99999998712,370.999999996409,3328.99999995144,192.999999825285,"Solam","Susent",0,5175.99999978576,"1","0",2,"0","0"
4,1,"1",0,"F",1,"1","TRAPPIST-1e",16,0,302.999999929526,69.9999998345271,151.000000079013,564.999999854975,1.99999996062793,"Willy","Santantines",1,1090.99999965867,"6","1",1,"1","0"
5,1,"1",0,"F",0,"0","PSO J318.5-22",44,0,-5.33937994132637e-08,482.999999890048,-9.36508221511168e-08,290.999999949825,-7.62315818875349e-08,"Sandie","Hinetthews",1,773.999999616597,"6","1",1,"0","0"
6,1,"1",0,"F",2,"1","TRAPPIST-1e",26,0,42.00000007021,1539.00000002098,2.99999993206801,-3.44419107715867e-08,-1.75046525974372e-07,"Billex","Jacostaffey",1,1583.99999981377,"6","0",2,"0","0"
6,2,"1",1,"G",0,"1","TRAPPIST-1e",28,0,5.79995723983967e-08,3.93990562494528e-08,1.20476643538382e-07,6.79070326984898e-08,1.88230673591831e-07,"Candra","Jacostaffey",1,4.74012978476552e-07,"7","0",2,"0","0"
7,1,"1",0,"F",3,"1","TRAPPIST-1e",35,0,-4.96440253388398e-11,785.000000131875,16.9999999231864,216.00000013685,9.937997666203e-08,"Andona","Beston",1,1018.00000029124,"6","1",1,"0","0"
8,1,"0",1,"B",1,"0","55 Cancri e",14,0,-4.08473088029575e-08,3.77252217842884e-08,-1.15795691190538e-07,-1.06582845305862e-07,-7.2177444487169e-08,"Erraiam","Flatic",1,-2.97678068002238e-07,"2","0",3,"0","0"
